path,spoken_language,signed_language,start,end,words,glosses,priority
ins/repeat.pose,en,ins,0,0,repeat,REPEAT,0
ins/share.pose,en,ins,0,0,share,SHARE,0
ase/save.pose,en,ase,0,0,save,SAVE,0
ins/join.pose,en,ins,0,0,join,JOIN,0
ins/lose.pose,en,ins,0,0,lose,LOSE,0
ins/win.pose,en,ins,0,0,win,WIN,0
ins/break.pose,en,ins,0,0,break,BREAK,0
ins/fix.pose,en,ins,0,0,fix,FIX,0
ins/carry.pose,en,ins,0,0,carry,CARRY,0
ins/pull.pose,en,ins,0,0,pull,PULL,0
ins/push.pose,en,ins,0,0,push,PUSH,0
ase/turn.pose,en,ase,0,0,turn,TURN,0
ins/cut.pose,en,ins,0,0,cut,CUT,0
ins/wash.pose,en,ins,0,0,wash,WASH,0
ins/cook.pose,en,ins,0,0,cook,COOK,0
ins/drive.pose,en,ins,0,0,drive,DRIVE,0
ins/swim.pose,en,ins,0,0,swim,SWIM,0
ins/dance.pose,en,ins,0,0,dance,DANCE,0
ase/sing.pose,en,ase,0,0,sing,SING,0
ins/draw.pose,en,ins,0,0,draw,DRAW,0
ins/paint.pose,en,ins,0,0,paint,PAINT,0
ins/count.pose,en,ins,0,0,count,COUNT,0
ase/measure.pose,en,ase,0,0,measure,MEASURE,0
ase/type.pose,en,ase,0,0,type,TYPE,0
ins/search.pose,en,ins,0,0,search,SEARCH,0
ins/download.pose,en,ins,0,0,download,DOWNLOAD,0
ase/print.pose,en,ase,0,0,print,PRINT,0
ins/cry.pose,en,ins,0,0,cry,CRY,0
ins/laugh.pose,en,ins,0,0,laugh,LAUGH,0
ins/smile.pose,en,ins,0,0,smile,SMILE,0
ase/pray.pose,en,ase,0,0,pray,PRAY,0
ins/celebrate.pose,en,ins,0,0,celebrate,CELEBRATE,0
ins/apologize.pose,en,ins,0,0,apologize,APOLOGIZE,0
ins/borrow.pose,en,ins,0,0,borrow,BORROW,0
ase/lend.pose,en,ase,0,0,lend,LEND,0
ins/sell.pose,en,ins,0,0,sell,SELL,0
ins/rent.pose,en,ins,0,0,rent,RENT,0
ins/order.pose,en,ins,0,0,order,ORDER,0
ins/reserve.pose,en,ins,0,0,reserve,RESERVE,0
ins/husband.pose,en,ins,0,0,husband,HUSBAND,0
ins/wife.pose,en,ins,0,0,wife,WIFE,0
ins/son.pose,en,ins,0,0,son,SON,0
ins/daughter.pose,en,ins,0,0,daughter,DAUGHTER,0
ins/grandfather.pose,en,ins,0,0,grandfather,GRANDFATHER,0
ins/grandmother.pose,en,ins,0,0,grandmother,GRANDMOTHER,0
ins/uncle.pose,en,ins,0,0,uncle,UNCLE,0
ins/aunt.pose,en,ins,0,0,aunt,AUNT,0
ins/cousin.pose,en,ins,0,0,cousin,COUSIN,0
ins/neighbor.pose,en,ins,0,0,neighbor,NEIGHBOR,0
ins/boss.pose,en,ins,0,0,boss,BOSS,0
ins/colleague.pose,en,ins,0,0,colleague,COLLEAGUE,0
ins/nurse.pose,en,ins,0,0,nurse,NURSE,0
ase/engineer.pose,en,ase,0,0,engineer,ENGINEER,0
ins/lawyer.pose,en,ins,0,0,lawyer,LAWYER,0
ins/farmer.pose,en,ins,0,0,farmer,FARMER,0
ins/driver.pose,en,ins,0,0,driver,DRIVER,0
ins/chef.pose,en,ins,0,0,chef,CHEF,0
ase/soldier.pose,en,ase,0,0,soldier,SOLDIER,0
ase/priest.pose,en,ase,0,0,priest,PRIEST,0
ins/king.pose,en,ins,0,0,king,KING,0
ins/queen.pose,en,ins,0,0,queen,QUEEN,0
ins/village.pose,en,ins,0,0,village,VILLAGE,0
ins/town.pose,en,ins,0,0,town,TOWN,0
ase/state.pose,en,ase,0,0,state,STATE,0
ase/district.pose,en,ase,0,0,district,DISTRICT,0
ins/temple.pose,en,ins,0,0,temple,TEMPLE,0
ins/church.pose,en,ins,0,0,church,CHURCH,0
ase/mosque.pose,en,ase,0,0,mosque,MOSQUE,0
ins/bank.pose,en,ins,0,0,bank,BANK,0
ins/hotel.pose,en,ins,0,0,hotel,HOTEL,0
ase/stadium.pose,en,ase,0,0,stadium,STADIUM,0
ins/farm.pose,en,ins,0,0,farm,FARM,0
ins/forest.pose,en,ins,0,0,forest,FOREST,0
ins/beach.pose,en,ins,0,0,beach,BEACH,0
ins/mountain.pose,en,ins,0,0,mountain,MOUNTAIN,0
ins/river.pose,en,ins,0,0,river,RIVER,0
ase/lake.pose,en,ase,0,0,lake,LAKE,0
ins/ocean.pose,en,ins,0,0,ocean,OCEAN,0
ins/sea.pose,en,ins,0,0,sea,SEA,0
ins/desert.pose,en,ins,0,0,desert,DESERT,0
ins/garden.pose,en,ins,0,0,garden,GARDEN,0
ins/field.pose,en,ins,0,0,field,FIELD,0
ase/factory.pose,en,ase,0,0,factory,FACTORY,0
ins/museum.pose,en,ins,0,0,museum,MUSEUM,0
ase/theater.pose,en,ase,0,0,theater,THEATER,0
ase/mall.pose,en,ase,0,0,mall,MALL,0
ins/gym.pose,en,ins,0,0,gym,GYM,0
ins/clinic.pose,en,ins,0,0,clinic,CLINIC,0
ase/pharmacy.pose,en,ase,0,0,pharmacy,PHARMACY,0
ins/police_station.pose,en,ins,0,0,police station,POLICE_STATION,0
ins/fire_station.pose,en,ins,0,0,fire station,FIRE_STATION,0
